Start     End       Cat  Project      Description

59ca2198  59ca2272  COD  Log          Creating a new system
59ca243e  59ca564a  COD  Log          Working on data visualisation
59ca5ba6  59ca6073  PHO  Photography  Editing a moon photo
59ca613b  59ca6308  PHO  Photography  Editing plant photos
59ca66b4  59ca67ab  COD  Log          Fixing vis for IE
59cad5bc  59cae402  COD  Log          Updating interface
59cae4b4  59cae4f9  COD  Log          Fixing vis issue
59cb0930  59cb1048  COD  Log          Adding analytical information
59cb40de  59cb4f97  RES  Twitter      Researching Twitter API
59cb54de  59cb5b73  COD  Log          Adding more analytical information
59cb6fb3  59cb8218  COD  Log          Cleaning up code
59cb88fd  59cb8b11  COD  Log          Cleaning up code
59cb9856  59cb99fb  PHO  Instagram    Editing a post
59cba14b  59cbaa86  DSG  Karasu       Designing a Twitter client
59cbc112  59cbcba3  DSG  Heather      Designing UI
59cbcdfe  59cbd1cf  COD  Log          Simplifying UI
59cbec67  59cbee57  COD  Mors         Adding progress bar
59cc5a0b  59cc5ccd  COD  Log          Adding log status indicator
59cc5d53  59cc5e79  COD  Log          Adding colour coding
59cc60e5  59cc6519  COD  Log          Optimising things
59cc7a9d  59cc7c2a  COD  Log          Cleaning up code
59cc8b99  59cc985e  MNT  Castle       Optimising living space
59ccba8f  59ccbdb9  COD  Log          Adding more analytical information
59ccc9b5  59ccd514  DSG  Log          Updating design
59ccd70e  59ccd832  COD  Log          Fixing tab issue with mobile browsers
59ccdb22  59ccdc5e  COD  Log          Removing tabs
59ccfdac  59cd0928  ACA  ACCT131      Doing homework
59cd0c44  59cd0ca2  COD  Log          Updating colour coding
59cd0cdf  59cd0f01  ACA  ACCT131      Doing homework
59cd110c  59cd1a21  ACA  ACCT131      Doing homework
59cd1d18  59cd277c  DSG  Heather      Designing UI
59cd2b49  59cd30f8  DSG  Heather      Designing UI
59cd3b94  59cd42dc  DSG  Heather      Designing UI
59cd9910  59cd9e25  DSG  Heather      Designing UI
59cd9e53  59cdac76  COD  Heather      Writing API functions
59cdaf20  59cdb0ef  DSG  Arachne      Designing UI
59cdb7ed  59cdbd79  COD  Heather      Writing API functions
59cdc43c  59cdcb09  COD  Heather      Organising code
59cde6f5  59cdf228  COD  Heather      Organising code
59cdf80d  59ce072a  COD  Heather      Implementing commands
59ce075b  59ce07ad  COD  Log          Fixing UI
59ce0a3b  59ce0f68  COD  Memex        Updating site
59ce106e  59ce1c03  DSG  Macian       Adding box shadows
59ce1c82  59ce1fb1  DSG  Macian       Updating Codex design
59ce2f2b  59ce317c  COD  Log          Streamlining log script
59ce44a8  59ce4c5d  COD  Macian       Adding utility classes
59ce4ed3  59ce547d  DSG  Log          Updating UI
59ce57de  59ce5f25  PHO  Instagram    Preparing a post
59ce6b2a  59ce6b78  COD  Macian       Fixing image scaling issue
59ce6cb5  59ce6ea0  COD  Macian       Fixing image scaling issue
59cf139b  59cf2a55  DSG  Memex        Updating site design
59cf2bd1  59cf3a94  COD  Macian       Adding utility classes
59cf422e  59cf4597  COD  Macian       Adding utility classes
59cf47ab  59cf5acc  COD  Macian       Expanding Codex contents
59cf5bca  59cf6307  DSG  Macian       Designing a homepage
59cf6a00  59cf6b8c  COD  Memex        Updating site
59cf6c71  59cf7648  DSG  Memex        Updating design
59cf77b0  59cf827f  DSG  Memex        Updating design
59cf8724  59cfa026  DSG  Memex        Updating design
59cfa2b4  59cfa45b  DSG  Log          Adding colour legend
59cfab8b  59cfaea4  RES  Sleep        Researching sleep stuff
59cfaf5b  59cfb421  COD  Somnus       Creating a sleep tracker
59d05ae9  59d06953  COD  Somnus       Adding statistical information
59d0772c  59d08b62  COD  Somnus       Adding statistical information
59d08c60  59d0901a  COD  Log          Fixing overflow issue
59d09e5e  59d0a4a7  COD  Log          Cleaning up code
59d0a5a1  59d0a9e0  COD  Somnus       Cleaning up code
59d0b1b0  59d0b463  COD  Eau          Implementing log
59d0bac2  59d0c3ce  COD  Eau          Implementing log
59d0c549  59d0c7f9  COD  Eau          Writing shellscript
59d0c8d7  59d0c9a0  COD  Eau          Fixing shellscript
59d0d9d9  59d0f0d1  ART  Inktober     Day 1 - Swift
59d0f273  59d0f4d1  PHO  Instagram    Editing post
59d10a19  59d10d58  COD  Log          Cleaning up code
59d10e7b  59d10f5b  COD  Memex        Cleaning up code
59d18f37  59d18fd8  COD  Macian       Updating classes
59d19075  59d19108  COD  Mors         Optimising script
59d195ab  59d196ae  COD  Haiaku       Optimising script
59d1b7a6  59d1b9ef  COD  Eau          Fixing vis issues
59d1ba82  59d1bcf8  COD  Eau          Cleaning up code
59d1bebf  59d1c58f  ACA  MNGT337      Doing homework
59d1ca50  59d1cfe6  COD  Heather      Working on commands
59d1d17c  59d1d4d4  DSG  Somnus       Updating UI
59d1f84d  59d203d6  COD  Log          Cleaning up code
59d2029d  59d203d6  ART  Inktober     Day 2 - Divided
59d20cad  59d2135a  ART  Inktober     Day 2 - Divided
59d215b1  59d22469  DSG  Memex        Updating design
59d24335  59d2490e  PHO  Instagram    Editing a post
59d24c62  59d260ab  COD  Memex        Updating content
59d264dd  59d2660f  PHO  Memex        Editing header images
59d267f0  59d26975  DSG  Memex        Updating image design
59d2ecc8  59d2efe3  COD  Log          Fixing stats
59d2f04c  59d2f0f6  COD  Log          Fixing stats
59d34ad4  59d34cbd  COD  Log          Experimenting with visualisations
59d34ccd  59d34fb3  COD  Log          Adding sector percentages
59d36789  59d3722e  COD  Log          Optimising code
59d38eff  59d39101  PHO  Instagram    Editing a post
59d395f6  59d3b670  DSG  Memex        Working on UI
59d47509  59d47d05  DSG  Memex        Working on UI
59d4aee7  59d4b0bb  DSG  Memex        Updating content
59d4b2c5  59d4b415  DSG  Memex        Updating content
59d4b87a  59d4ba52  COD  Memex        Optimising code
59d4bca5  59d4cb50  COD  Memex        Optimising code
59d4cc78  59d4cd1b  WRT  Memex        Editing content
59d4cd34  59d4ce65  COD  Log          Salvaging archives
59d4cf18  59d4e38d  DSG  Log          Updating dashboard
59d4f0d5  59d4f8bb  PHO  Instagram    Editing post
59d4fe3f  59d508d6  COD  Log          Implementing bar chart
59d5b192  59d5ba2b  COD  Log          Cleaning up code
59d5f4d9  59d5f79a  COD  Log          Implementing bar chart
59d602db  59d61208  COD  Log          Adding more charts
59d62427  59d625f3  COD  Log          Adding LHmin and LHmax
59d63483  59d642d1  COD  Log          Working on charts
59d64ae9  59d65a4d  DSG  Log          Updating UI
59d6d649  59d6e641  ACA  MATH235      Studying probability distributions
59d77083  59d77340  COD  Log          Updating interface
59d774fa  59d77cd6  DSG  Log          Polishing design
59d82ce3  59d8322d  COD  Somnus       Updating interface
59d8387c  59d84ba7  COD  Aequirys     Updating calendar
59d84c7d  59d84dca  COD  Aequirys     Cleaning up code
59d84f31  59d84fd0  COD  Aequirys     Cleaning up code
59d85232  59d853b2  COD  Aequirys     Cleaning up code
59d854d5  59d85808  COD  Log          Updating to ES6
59d85e99  59d85f93  COD  Somnus       Updating to ES6
59d86055  59d86108  COD  Log          Fixing log table
59d86383  59d8668e  COD  Heather      Updating to ES6
59d86a9b  59d870ea  COD  Heather      Updating to ES6
59d8a51a  59d8b5d5  COD  Log          Working on updates
59d8b6c1  59d8b7ad  COD  MONOCAL      Updating to ES6
59d8b8d6  59d8ba25  COD  Haiaku       Updating to ES6
59d8c3fb  59d8ccca  DSG  MONOCAL      Redesigning UI
59d8d75a  59d8e751  DSG  Log          Working on UI
59d8ee33  59d8f468  DSG  Log          Working on UI
59d986da  59d98870  COD  Log          Fixing stats
59d988db  59d99fcf  COD  Log          Clarifying code
59d9a468  59d9a639  COD  Mors         Updating to ES6
59d9aa11  59d9aa51  COD  Log          Fixing Aequirys
59d9af52  59d9b4f0  RES  Horology     Reverse-engineering a clock
59d9c94a  59d9db97  DSG  Log          Updating UI
59d9fdd0  59da0a62  ACA  ACCT131      Doing homework
59da10cc  59da174f  ACA  ACCT131      Doing homework
59da3337  59da37d5  MUS  Piano        Practicing piano
59da3f55  59da40b8  DSG  Macian       Updating Codex
59da438a  59da4a4f  COD  Macian       Merging modules
59da4b05  59da4c46  COD  Memex        Updating Macian
59dacac8  59dacc7f  COD  Aequirys     Cleaning up code
59dacc9a  59dad05e  DSG  Aequirys     Updating UI
59dad3a5  59dad760  COD  Aequirys     Updating calendar
59dad90c  59dada34  COD  Brainfuck    Updating to ES6
59dadaa1  59dadb87  COD  Log          Updating Aequirys
59dadb90  59dade06  COD  Aequirys     Fixing month issue
59daeb26  59daed47  COD  Log          Cleaning up code
59db4840  59db4968  DSG  Log          Updating UI
59db497e  59db5891  COD  Log          Writing filter functions
59db5903  59db632a  DSG  Log          Updating UI
59db95a3  59dbaac7  COD  ACCT131      Creating accounting software
59dbac29  59dbb334  COD  ACCT131      Creating accounting software
59dc81d1  59dc89f1  DSG  Log          Updating UI
59dcad86  59dcaef1  DSG  Log          Updating colour palette
59dcaf00  59dcb295  DSG  Log          Updating UI
59dcb2b3  59dcbe71  COD  Log          Adding peak statistics
59dcc14c  59dcc8f9  DSG  Log          Updating UI
59dcd540  59dcd7f5  COD  Log          Adding day chart
59dcd874  59dce30c  COD  Log          Optimising code
59ddfc54  59ddfe91  COD  Log          Updating peak statistics
59de057c  59de0676  COD  Log          Adding trends
59de1b56  59de24a2  COD  Log          Adding trends
59de2568  59de2685  COD  Log          Fixing log percentage
59de26f3  59de2ff4  COD  Log          Adding sector percentages
59de306e  59de356e  COD  Log          Optimising code
59df5d5e  59df68fe  COD  Log          Optimising code
59df7dcd  59df87f8  COD  Log          Optimising code
59df8d99  59df8f1e  COD  Log          Optimising code
59e0260d  59e027bb  COD  Twig         Creating a log input utility
59e02861  59e03039  COD  Somnus       Updating logs
59e03056  59e0336e  COD  Eau          Updating logs
59e03419  59e03640  DSG  Somnus       Updating UI
59e0366b  59e03cc6  COD  Somnus       Optimising code
59e0411d  59e04607  COD  Somnus       Optimising code
59e046b4  59e050b0  COD  Log          Adding sector stats
59e05b48  59e061f6  COD  Rotonde      Setting up Beaker
59e06408  59e06a49  COD  Log          Cleaning up code
59e081a6  59e08b93  DSG  Log          Adding projects section
59e09255  59e09829  RES  npm          Learning how to use npm
59e0c083  59e0ca40  COD  Log          Adding web console
59e0cad6  59e0d328  COD  Log          Adding web console
59e16e69  59e1782e  COD  Rotonde      Setting up Rotonde/Beaker
59e18263  59e183ad  COD  Rotonde      Mirroring to Hashbase
59e1892d  59e18c7b  COD  Rotonde      Fixing time issue
59e18d90  59e18e87  COD  Rotonde      Fixing PR errors
59e1a140  59e1b67e  DSG  Heather      Updating UI
59e1d5e9  59e1d9a0  COD  Macian       Expanding colour palette
59e1daca  59e1e53a  COD  Macian       Decluttering styles
59e1e62c  59e1eac7  DSG  Memex        Updating UI
59e210f5  59e213af  COD  Memex        Implementing Log stats
59e213bf  59e214bd  COD  Log          Adding project report functions
59e21572  59e21d43  COD  Memex        Implementing Log stats
59e21e47  59e223a1  DSG  Memex        Updating UI
59e26d32  59e27574  COD  Aequirys     Cleaning up code
59e27644  59e27cb0  COD  Aequirys     Redesigning code structure
59e27cf0  59e280d3  COD  Aequirys     Optimising CSS
59e281dc  59e2827d  COD  Memex        Fixing Aequirys
59e2829f  59e2836f  COD  Log          Fixing Aequirys
59e2b225  59e2b402  COD  Rotonde      Updating profile
59e2b52b  59e2b92e  DSG  Rotonde      Creating themes
59e2c57f  59e2c96a  DSG  Rotonde      Creating themes
59e2e78f  59e2f48c  DSG  Rotonde      Creating themes
59e31d4a  59e3225f  COD  Haiaku       Cleaning up code
59e323ec  59e327e5  COD  Twig         Uploading to GitHub
59e355a8  59e35ce6  RES  Typography   Researching typography principles
59e3d5be  59e3e8a9  ACA  BUAD331      Creating presentation
59e3efb7  59e3f536  ACA  BUAD331      Writing field trip report
59e409fe  59e41100  DSG  Rotonde      Designing a concept
59e442de  59e44ff3  ACA  MNGT337      Doing homework
59e47405  59e4978d  DSG  Macian       Updating Codex
59e4b030  59e4b82b  DSG  Log          Redesigning dashboard
59e4b927  59e4ce5c  DSG  Log          Redesigning dashboard
59e4d6b5  59e4dcf7  DSG  Log          Redesigning dashboard
59e565cf  59e56c3e  ACA  ACCT131      Doing homework
59e573c0  59e57dba  COD  Log          Writing forecast algorithms
59e5900f  59e59323  COD  Log          Updating activity sector percentages
59e5bd10  59e5c21e  DSG  Log          Redesigning dashboard
59e5ca42  59e5e093  DSG  Log          Redesigning dashboard
59e5e12b  59e5e5fa  COD  Log          Adding session timer
59e5e6d3  59e5e85d  COD  Log          Optimising code
59e61506  59e61d6d  DSG  Rotonde      Designing Rotonde Avanier
59e61eb2  59e6362b  DSG  Rotonde      Designing Rotonde Avanier
59e637ad  59e645b1  DSG  Rotonde      Designing Rotonde Avanier
59e6ba3e  59e6be43  COD  Rotonde      Restructuring code
59e6f500  59e6fe20  ACA  MNGT337      Preparing for a test
59e7348d  59e740fb  DSG  Log          Updating dashboard
59e74192  59e74990  COD  Log          Cleaning up code
59e774c9  59e7854a  COD  Log          Cleaning up code
59e793c0  59e7969e  DSG  Log  Updating dashboard
59e796d2  59e79ede  DSG  Log  Adding UI runes
59e7a742  59e7a929  DSG  Log  Animating status indicator
59e7d1b4  59e7d396  DSG  Log  Updating tab menu
59e8b65c  59e8bfd5  DSG  Eau  Updating UI
59e99597  59e9a0e0  DSG  Eau  Updating UI
59e9a331  59e9a82b  COD  Eau  Fixing line visualisation
59e9bd9e  59e9c275  COD  Eau  Fixing bar charts
59e9c503  59e9c6f9  COD  Eau  Adding day chart
59e9c73b  59e9c839  DSG  Eau  Updating UI
59e9c88e  59e9ca60  COD  Log  Optimising code
59e9d045  59e9d4c6  DSG  Somnus  Updating UI
59e9d61b  59e9db46  COD  Somnus  Writing log parse function
59e9db97  59e9deb3  DSG  Somnus  Improving charts
59e9dec8  59e9e4ac  COD  Somnus  Updating logs
59e9e677  59e9e953  DSG  Somnus  Improving charts
59e9f97a  59e9fadc  COD  Eau  Updating timer
59e9fb52  59ea0053  DSG  Eau  Updating UI
59ea0115  59ea07b2  COD  Eau  Adding statistics
59ea090a  59ea0cb3  COD  Eau  Optimising code
59ea138c  59ea1798  COD  Eau  Fixing bar chart
59ea84ec  59ea867a  COD  Somnus  Optimising code
59ea8686  59ea9283  DSG  Somnus  Updating UI
59ea9620  59ea9b75  DSG  Somnus  Improving charts
59eaaad0  59eab45a  COD  Eau  Optimising code
59eab57c  59eab94f  MUS  Piano  Practising piano
59ead5ed  59ead7a8  COD  Macian  Improving numeral typography
59eae8e2  59eaf2ef  DSG  Log  Improving charts
59eaf41a  59eb03d6  DSG  Log  Updating UI
59eb2234  59eb246a  COD  Eau  Updating shellscript
59eb2c31  59eb2e6e  DSG  Primaire  Updating Squarespace site design
59eb3647  59eb392b  DSG  Primaire  Updating Squarespace site design
59ebff3c  59ebffd2  COD  Twig  Optimising code
59ec0210  59ec02da  COD  Twig  Optimising code
59ec06de  59ec1188  DSG  Oeuvre  Creating project logos
59ec12b9  59ec2692  COD  Log  Cleaning up code
59ec30a7  59ec32b6  VID  Mithvaer  Updating worldbuilding notes
